flight_issues.flightnum,flight_issues.num_delays,flight_issues.avg_delay,flight_issues.total_delay,flight_issues.num_cancellations
857,1057,30.64333017975402,32390,28
1703,1212,26.667491749174918,32321,29
411,1463,22.09090909090909,32319,21
1252,1096,29.478102189781023,32308,28
490,1451,22.2605099931082,32300,22
529,1267,25.48539857932123,32290,55
243,1381,23.350470673425054,32247,30
28,1224,26.340686274509803,32241,27
408,1089,29.601469237832873,32236,22
1407,1483,21.73364801078894,32231,40
1149,1042,30.912667946257198,32211,31
1121,1345,23.93903345724907,32198,54
1232,1044,30.839080459770116,32196,35
1217,958,33.57306889352818,32163,45
283,1349,23.825055596738324,32140,27
249,1279,25.09851446442533,32101,46
463,1037,30.947926711668273,32093,37
473,968,33.14049586776859,32080,28
52,1201,26.701915070774355,32069,62
921,1160,27.64396551724138,32067,48
1223,1313,24.39070830159939,32025,52
487,1040,30.764423076923077,31995,66
678,1144,27.951923076923077,31977,22
40,1273,25.106834249803615,31961,49
2260,898,35.56792873051225,31940,32
393,1139,28.031606672519754,31928,30
563,1105,28.894117647058824,31928,26
149,1279,24.953870211102423,31916,53
1186,979,32.597548518896836,31913,52
151,1406,22.67923186344239,31887,136
220,966,32.95652173913044,31836,47
926,1054,30.169829222011384,31799,27
382,1322,24.018154311649017,31752,48
104,1422,22.30661040787623,31720,29
1064,1134,27.97089947089947,31719,41
180,1382,22.94862518089725,31715,29
786,1446,21.914937759336098,31689,33
592,1532,20.662532637075717,31655,56
398,1213,26.07502061005771,31629,45
692,1114,28.384201077199283,31620,43
1020,1070,29.547663551401868,31616,42
299,1121,28.173951828724352,31583,26
23,1235,25.53927125506073,31541,59
852,1253,25.151636073423784,31515,18
1441,1039,30.327237728585178,31510,45
82,1073,29.361602982292638,31505,43
1199,1024,30.759765625,31498,23
230,1178,26.717317487266552,31473,33
1012,1038,30.309248554913296,31461,39
196,1566,20.08939974457216,31460,37
720,1074,29.269087523277467,31435,44
366,1100,28.55909090909091,31415,60
609,914,34.35995623632385,31405,35
1102,934,33.602783725910065,31385,26
1603,759,41.34914361001317,31384,41
459,1102,28.45825771324864,31361,30
654,1240,25.258870967741935,31321,35
419,1169,26.748502994011975,31269,25
937,1167,26.75835475578406,31227,12
764,940,33.217021276595744,31224,21
712,1159,26.937877480586714,31221,52
1816,911,34.259055982436884,31210,57
521,1153,27.055507372072853,31195,35
662,1244,25.058681672025724,31173,43
854,1197,26.040100250626566,31170,32
874,1003,31.02891326021934,31122,37
1410,1066,29.18949343339587,31116,38
598,1373,22.634377276037874,31077,37
1467,1048,29.641221374045802,31064,18
527,995,31.176884422110554,31021,31
954,1271,24.40125885129819,31014,33
591,1343,23.075204765450483,30990,25
447,1353,22.883961566888395,30962,38
108,1169,26.468776732249786,30942,22
531,1268,24.40141955835962,30941,57
1268,1097,28.190519598906107,30925,32
849,1063,29.07714016933208,30909,41
254,1190,25.955462184873948,30887,26
667,1104,27.96014492753623,30868,73
457,1220,25.291803278688526,30856,35
431,1209,25.507030603804797,30838,34
1424,921,33.42453854505972,30784,36
1220,1136,27.058098591549296,30738,32
603,1116,27.526881720430108,30720,31
211,1241,24.74214343271555,30705,29
275,1277,24.041503523884103,30701,42
479,1095,28.036529680365298,30700,42
1627,1063,28.873941674506113,30693,42
1029,1064,28.836466165413533,30682,29
297,1247,24.592622293504412,30667,25
1112,1232,24.880681818181817,30653,23
272,1431,21.41299790356394,30642,30
925,1153,26.56721595836947,30632,43
637,1100,27.84,30624,42
1828,903,33.8936877076412,30606,15
484,1263,24.220110847189233,30590,48
572,1436,21.29735376044568,30583,29
1415,900,33.96666666666667,30570,38
1227,1140,26.81578947368421,30570,24
976,919,33.262241566920565,30568,28
589,1420,21.520422535211267,30559,41
262,1176,25.98469387755102,30558,16
215,1254,24.358851674641148,30546,34
1730,990,30.844444444444445,30536,37
1532,1005,30.361194029850747,30513,25
964,1005,30.335323383084578,30487,43
616,1339,22.731889469753547,30438,32
832,1226,24.827079934747147,30438,23
801,787,38.673443456162644,30436,17
658,937,32.45997865528282,30415,34
1494,953,31.896117523609654,30397,51
682,902,33.686252771618626,30385,34
127,1028,29.53112840466926,30358,70
699,1028,29.52237354085603,30349,28
1181,842,36.034441805225654,30341,59
1282,1007,30.1201588877855,30331,25
434,1077,28.158774373259053,30327,32
1187,969,31.296181630546954,30326,35
